uem,inc_uem,dindiza,inc_dindiza,massangena,inc_massangena,pomene,inc_pomene,maravia,inc_maravia,nhangau,inc_nhangau,nhapassa_1,inc_nhapassa_1,lugela_1,inc_lugela_1,chomba,inc_chomba,nanhupo_1,inc_nanhupo_1,massangulo,inc_massangulo_1
0.66,0.009,0.912,-0.222,0.618,0.352,0.625,-0.625,0.553,0.342,0.8,-0.286,0.975,-0.409,0.11,-0.11,0.756,0.16,0.886,-0.399,0.518,0.125
0.669,-0.007,0.691,-0.691,0.969,-0.969,0.625,0.152,0.895,-0.325,0.514,-0.075,0.567,0.076,0.307,-0.307,0.916,-0.122,0.487,-0.244,0.643,-0.643
0.663,0.023,0.911,-0.091,0.788,-0.204,0.777,-0.066,0.57,-0.214,0.439,0.225,0.643,-0.203,0.016,-0.016,0.794,0.033,0.244,0.261,0.911,-0.158
0.685,-0.007,0.82,0.111,0.584,0.002,0.711,-0.711,0.356,-0.079,0.664,0.124,0.44,0.062,0.026,0.049,0.827,-0.827,0.505,-0.25,0.753,-0.28
0.678,0.006,0.931,0.041,0.586,0.048,0.986,-0.746,0.278,0.136,0.788,-0.788,0.501,0.299,0.076,-0.064,0.783,-0.095,0.255,-0.255,0.472,0.495
0.684,0.006,0.972,-0.267,0.634,-0.634,0.24,0.722,0.413,0.38,,-0.002,0.8,-0.8,0.011,0.427,0.689,0.23,0.823,-0.823,0.967,-0.494
0.69,-0.008,0.705,0.032,0.857,0.009,0.962,-0.535,0.793,0.009,,-0.003,0.721,-0.721,0.438,-0.438,0.919,-0.919,0.747,0.243,0.473,0.241
0.682,0.018,0.737,-0.737,0.865,0.13,0.427,0.28,0.803,-0.425,,-0.005,0.457,-0.132,0.147,-0.147,0.882,-0.316,0.99,-0.527,0.714,-0.714
0.7,-0.008,0.744,0.159,0.996,-0.011,0.707,-0.707,0.378,0.141,0.999,-0.009,0.326,0.054,0,0,0.565,-0.565,0.463,-0.463,0.556,-0.125
0.692,0.016,0.903,-0.903,0.985,-0.011,0.975,-0.975,0.52,0.139,0.99,-0.007,0.379,0.14,0,0,0.843,-0.843,0.951,-0.144,0.431,-0.033
0.708,0.003,0.857,-0.857,0.974,0.015,0.799,0.199,0.658,-0.155,0.983,-0.005,0.52,0.212,0,0,0.271,0.388,0.807,0.175,0.398,-0.108
0.711,0.003,0.439,0.255,0.989,-0.053,0.998,-0.076,0.503,0.137,0.978,-0.005,0.732,-0.732,0.073,-0.073,0.66,-0.66,0.982,-0.309,0.29,0.383
0.714,0.003,0.694,-0.694,0.936,0.044,0.922,0.057,0.64,-0.109,0.972,-0.015,0.853,-0.398,0.003,-0.003,0.78,-0.367,0.673,-0.074,0.673,0.291
